id,date_added,priority,organization,event_type,category,website,contact_name,contact_role,contact_email,contact_form,instagram,linkedin,source,status,last_touch,next_follow_up,follow_up_count,pitch_angle,topic_interest,event_date,event_location,audience_size,budget_range,media_kit_sent,speaker_packet_sent,reply_received,deal_stage,fit_score,money_score,speed_score,priority_score,estimated_value,notes
S001,2026-06-22,P1,Texas Woman's University,University,Education,,,,,,,,Not contacted,,,0,"Kashmiere returning as a powerful speaker for students.",Confidence Without Permission,,,,,No,No,No,Prospect,5,4,4,13,,
S002,2026-06-22,P1,Dallas College,College,Education,,,,,,,,Not contacted,,,0,"Faith, confidence, adaptation, and student motivation.",Built Different. Living Fully.,,,,,No,No,No,Prospect,5,4,4,13,,
S003,2026-06-22,P1,University of North Texas,University,Education,,,,,,,,Not contacted,,,0,"Student empowerment and living fully through difference.",Confidence Without Permission,,,,,No,No,No,Prospect,5,4,3,12,,
S004,2026-06-22,P1,UT Arlington,University,Education,,,,,,,,Not contacted,,,0,"Purpose, confidence, and adaptive living.",Turn Your Story Into Strength,,,,,No,No,No,Prospect,5,4,3,12,,
S005,2026-06-22,P1,SMU,University,Education,,,,,,,,Not contacted,,,0,"Motivational and inclusion-focused keynote.",Living Fully,,,,,No,No,No,Prospect,4,5,3,12,,
S006,2026-06-22,P1,TCU,University,Education,,,,,,,,Not contacted,,,0,"Faith, purpose, leadership, and confidence.",Built Different. Living Fully.,,,,,No,No,No,Prospect,4,5,3,12,,
S007,2026-06-22,P1,Dallas ISD,School District,Education,,,,,,,,Not contacted,,,0,"Student confidence and overcoming limits.",Confidence Without Permission,,,,,No,No,No,Prospect,5,4,4,13,,
S008,2026-06-22,P1,Women’s Ministry Event,Church / Faith,Faith,,,,,,,,Not contacted,,,0,"Faith-led confidence and living fully.",Faith And Adaptation,,,,,No,No,No,Prospect,5,4,4,13,,
S009,2026-06-22,P1,Christian Women’s Conference,Conference,Faith,,,,,,,,Not contacted,,,0,"Faith, confidence, motherhood, and purpose.",Faith And Adaptation,,,,,No,No,No,Prospect,5,5,3,13,,
S010,2026-06-22,P1,Inclusion Conference,Conference,Accessibility,,,,,,,,Not contacted,,,0,"Adaptive living, confidence, and inclusive storytelling.",Living Fully,,,,,No,No,No,Prospect,5,5,3,13,,
S011,2026-06-22,P2,Healthcare Leadership Event,Conference,Healthcare,,,,,,,,Not contacted,,,0,"Patient perspective, resilience, and humanity in care.",Turn Your Story Into Strength,,,,,No,No,No,Prospect,4,5,3,12,,
S012,2026-06-22,P2,Podcast Guest Outreach,Podcast,Media,,,,,,,,Not contacted,,,0,"A real story on faith, motherhood, confidence, and purpose.",Built Different. Living Fully.,,,,,No,No,No,Prospect,4,3,5,12,,
